Player,#,Pos,Country Playing ,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Player-additional,Country Playing
Roberto Alvarado,25,FW,mx,1.mx Guadalajara,Salamanca Estado de Guanajuato Mexico,9/7/98,24-074,1,18.0,0.0,ff871e14,
Edson Álvarez,4,MF,nl,Ajax,Tlalnepantla de Baz Estado de México Mexico,10/24/97,25-027,2,175.0,0.0,8b3ab7ad,
Kevin Álvarez,26,DF,mx, Pachuca,Colima Estado de Colima Mexico,1/15/99,23-309,2,70.0,0.0,636b0833,
Uriel Antuna,21,FWMF,mx,Cruz Azul,Gómez Palacio Estado de Durango Mexico,8/21/97,25-091,3,77.0,0.0,a35f5848,
Néstor Araujo,2,DF,mx,América,Guadalajara Estado de Jalisco Mexico,8/29/91,31-083,1,90.0,0.0,27a013f7,
Gerardo Arteaga,6,DF,be, Genk,Zapopan Estado de Jalisco Mexico,9/7/98,24-074,0,,,8b47ce35,
Luis Chávez,24,MF,mx, Pachuca,Cihuatlán Estado de Jalisco Mexico,1/15/96,26-309,3,270.0,1.0,e50949ea,
Rodolfo Cota,12,GK,mx, León,Mazatlán Estado de Sinaloa Mexico,7/3/87,35-140,0,,,a4a5868e,
Jorge Eduardo Sánchez,19,DF,nl,Ajax,Torreón Estado de Coahuila de Zaragoza Mexico,12/10/97,24-345,2,175.0,0.0,c8d1c3a5,
Rogelio Funes Mori,11,FW,mx,Monterrey,Mendoza Argentina,3/5/91,31-260,1,5.0,0.0,bf9a2406,
Jesús Gallardo,23,DF,mx, Monterrey,Cárdenas Estado de Tabasco Mexico,8/15/94,28-097,3,270.0,0.0,d0846b6c,
Andrés Guardado,18,MF,es, Betis,Guadalajara Estado de Jalisco Mexico,9/28/86,36-053,1,41.0,0.0,ef322658,
Erick Gutiérrez,14,MF,nl, PSV Eindhoven,Los Mochis Estado de Sinaloa Mexico,6/15/95,27-158,1,49.0,0.0,c7842dab,
Héctor Herrera,16,MF,us,Houston Dynamo,Tijuana Estado de Baja California Mexico,4/19/90,32-215,2,160.0,0.0,a8542814,
Raúl Jiménez,9,FW,eng, Wolves,Tepeji del Río de Ocampo Estado de Hidalgo Mexico,5/5/91,31-199,3,59.0,0.0,b561db50,
Hirving Lozano,22,FW,it,Napoli,Mexico City Ciudad de México Mexico,7/30/95,27-113,3,252.0,0.0,a69e4806,
Henry Martín,20,FW,mx, América,Mérida Estado de Yucatán Mexico,11/18/92,30-002,2,146.0,1.0,b585c991,
César Montes,3,DF,mx,Monterrey,Hermosillo Estado de Sonora Mexico,2/24/97,25-269,3,270.0,0.0,28e957d7,
Héctor Moreno,15,DF,mx, Monterrey,Culiacán Estado de Sinaloa Mexico,1/17/88,34-307,3,270.0,0.0,5d311e8d,
Guillermo Ochoa,13,GK,mx, América,Guadalajara Estado de Jalisco Mexico,7/13/85,37-130,3,270.0,0.0,1e9bde92,
Orbelín Pineda,17,MF,gr,AEK Athens,Coyuca de Catalán Estado de Guerrero Mexico,3/24/96,26-241,1,76.0,0.0,411fabd7,
Charly Rodríguez,8,MF,mx,Cruz Azul,San Nicolás de los Garza Estado de Nuevo León Mexico,1/3/97,25-321,2,34.0,0.0,f0acf582,
Luis Romo,7,DFMF,mx,Monterrey,Ahome Estado de Sinaloa Mexico,6/5/95,27-168,0,,,e590bb10,
Alfredo Talavera,1,GK,mx, FC Juárez,La Barca Estado de Jalisco Mexico,9/18/82,40-063,0,,,5c7fc905,
Johan Vásquez,5,DF,it,Cremonese,Navojoa Estado de Sonora Mexico,10/22/98,24-029,0,,,5eaed77a,
Alexis Vega,10,FW,mx, Guadalajara,Cuauhtémoc Ciudad de México Mexico,11/25/97,24-360,3,193.0,0.0,f40f4c38,
Sam Adekugbe,3,DF,,1.tr Hatayspor,London England United Kingdom,1/16/95,27-308,3,95.0,0.0,7f2309be,
Milan Borjan,18,GK,,1.rs Red Star,Knin Croatia,10/23/87,35-028,3,270.0,0.0,5e8936be,
Tajon Buchanan,11,MFDF,,1.be Club Brugge,Brampton ON Canada,2/8/99,23-285,3,260.0,0.0,3aca6420,
Lucas Cavallini,9,FW,,1.us Vancouver,Toronto ON Canada,12/28/92,29-327,1,19.0,0.0,dd8de641,
Derek Cornelius,25,DFFW,,1.gr Panetolikos,Ajax ON Canada,11/25/97,24-360,0,,,577744b8,
Jonathan David,20,FWMF,,1.fr Lille,Brooklyn NY United States,1/14/00,22-310,3,192.0,0.0,ce50fd99,
Alphonso Davies,19,MFDF,,1.de Bayern Munich,Monrovia Liberia,11/2/00,22-018,3,270.0,1.0,d781d855,
Stephen Eustáquio,7,MF,,1.pt Porto,Leamington ON Canada,12/21/96,25-334,2,125.0,0.0,577efaec,
Liam Fraser,8,MF,,2.be KMSK Deinze,Toronto ON Canada,2/13/98,24-280,0,,,d784062b,
Junior Hoilett,10,FWMF,,2.eng Reading,Brampton ON Canada,6/5/90,32-168,3,161.0,0.0,33af5b9e,
Atiba Hutchinson,13,MF,,1.tr Beşiktaş,Brampton ON Canada,2/8/83,39-285,3,159.0,0.0,f1b55719,
Alistair Johnston,2,DF,,1.us CF Montréal,Vancouver BC Canada,10/8/98,24-043,3,270.0,0.0,4fb17e20,
Mark-Anthony Kaye,14,MF,,1.us Toronto FC,Toronto ON Canada,12/2/94,27-353,1,59.0,0.0,36a38acd,
Ismaël Koné,15,MFDF,,1.us CF Montréal,Abidjan Côte d'Ivoire,6/6/02,20-167,3,109.0,0.0,e0220b70,
Cyle Larin,17,FW,,1.be Club Brugge,Brampton ON Canada,4/17/95,27-217,3,137.0,0.0,e7af9060,
Richie Laryea,22,DFMF,,1.us Toronto FC,Toronto ON Canada,1/7/95,27-317,3,160.0,0.0,276fdbe4,
Liam Millar,23,DF,,1.ch Basel,Toronto ON Canada,9/27/99,23-054,1,10.0,0.0,983515f8,
Kamal Miller,4,DF,,1.us CF Montréal,Scarborough Village ON Canada,5/16/97,25-188,3,270.0,0.0,0646bd8a,
Jonathan Osorio,21,MFFW,,1.us Toronto FC,Toronto ON Canada,6/12/92,30-161,3,119.0,0.0,70106ff6,
James Pantemis,16,GK,,1.us CF Montréal,Montréal QC Canada,2/21/97,25-272,0,,,901408ac,
Samuel Piette,6,MF,,1.us CF Montréal,Repentigny QC Canada,11/12/94,28-008,0,,,bc33c73b,
Dayne St. Clair,1,GK,,1.us Minnesota Utd,Pickering ON Canada,5/9/97,25-195,0,,,3f41d25f,
Ike Ugbo,12,FW,,1.fr Troyes,London England United Kingdom,9/21/98,24-060,0,,,8a53d24b,
Steven Vitória,5,DF,,1.pt Chaves,Toronto ON Canada,1/11/87,35-313,3,270.0,0.0,9bc450e6,
Joel Waterman,26,DF,,1.us CF Montréal,Langley BC Canada,1/24/96,26-300,0,,,47ddcc22,
David Wotherspoon,24,MF,,1.sct St Johnstone,Perth Scotland United Kingdom,1/16/90,32-308,1,15.0,0.0,e9a9b1fa,
Brenden Aaronson,11,MF,,Leeds United,Medford NJ United States,10/22/00,22-029,4,108.0,0.0,5bc43860,eng
Kellyn Acosta,23,MF,, Los Angeles FC,Plano TX United States,7/24/95,27-119,2,43.0,0.0,ece10cfe,us
Tyler Adams,4,MF,,Leeds United,Wappingers Falls NY United States,2/14/99,23-279,4,360.0,0.0,2b09d998,eng
Cameron Carter-Vickers,20,DF,,Celtic,Southend-on-Sea England United Kingdom,12/31/97,24-324,1,90.0,0.0,88ced02c,sct
Sergiño Dest,2,DF,,Milan,Almere Stad Netherlands,11/3/00,22-017,4,305.0,0.0,5976f83e,it
Jesús Ferreira,9,FW,,FC Dallas,Santa Marta Colombia,12/24/00,21-331,1,45.0,0.0,f61246d8,us
Ethan Horvath,12,GK,,Luton Town,Highlands Ranch CO United States,6/9/95,27-164,0,,,3f65d5ce,eng
Sean Johnson,25,GK,,NYCFC,Lilburn GA United States,5/31/89,33-173,0,,,c164335e,us
Luca de la Torre,14,MF,,Celta Vigo ,San Diego CA United States,5/23/98,24-181,0,,,e9241b40,es
Aaron Long,15,DF,,NY Red Bulls,Oak Hills CA United States,10/12/92,30-039,0,,,46b89640,us
Weston McKennie,8,MF,, Juventus,Little Elm TX United States,8/28/98,24-084,4,271.0,0.0,01c3aff5,it
Shaquell Moore,18,DF,, Nashville,Powder Springs GA United States,11/2/96,26-018,2,22.0,0.0,3b9f859b,us
Jordan Morris,16,FWDF,,Seattle,Seattle WA United States,10/26/94,28-025,2,4.0,0.0,bd298d0d,us
Yunus Musah,6,MF,,Valencia,The Bronx NY United States,11/29/02,19-356,4,343.0,0.0,b51b1b9c,es
Christian Pulisic,10,FWMF,,Chelsea,Easton PA United States,9/18/98,24-063,4,315.0,1.0,1bf33a9a,eng
Tim Ream,13,DF,,Fulham,St. Louis MO United States,10/5/87,35-046,4,360.0,0.0,28b40c9c,eng
Gio Reyna,7,FW,, Dortmund,Durham England United Kingdom,11/13/02,20-007,2,53.0,0.0,7fa4e703,de
Antonee Robinson,5,DF,,Fulham,Milton Keynes England United Kingdom,8/8/97,25-104,4,359.0,0.0,2.90E+11,eng
Cristian Roldan,17,FWMF,, Seattle,Pico Rivera CA United States,6/3/95,27-170,0,,,48875649,us
Josh Sargent,24,FW,,Norwich City,O'Fallon MO United States,2/20/00,22-273,3,157.0,0.0,a8d4428b,eng
Joe Scally,26,DF,,M'Gladbach,Lake Grove NY United States,12/31/02,19-324,0,,,236f02cd,de
Matt Turner,1,GK,, Arsenal,Park Ridge NJ United States,6/24/94,28-149,4,360.0,0.0,4a51ba65,eng
Timothy Weah,21,FW,,Lille,Brooklyn NY United States,2/22/00,22-271,4,316.0,1.0,8eec784d,fr
Haji Wright,19,FW,,Antalyaspor,Los Angeles CA United States,3/27/98,24-238,4,137.0,1.0,91cd37b7,tr
DeAndre Yedlin,22,DF,, Inter Miami,Seattle WA United States,7/9/93,29-134,2,33.0,0.0,ae0a7ddf,us
Walker Zimmerman,3,DF,, Nashville,Lawrenceville GA United States,5/19/93,29-185,4,279.0,0.0,220fa883,us
Brandon Aguilera,20,MF,,Asociación Deportiva Guanacasteca,Naranjo Costa Rica,6/28/03,19-145,3,90.0,0.0,938fa024,cr
Esteban Alvarado,18,GK,, Club Sport Herediano,Siquirres Costa Rica,4/28/89,33-206,0,,,3b50da94,cr
Jewison Bennette,9,MF,, Sunderland,Heredia Costa Rica,6/15/04,18-158,3,103.0,0.0,58f5704e,eng
Celso Borges,5,MF,, Liga Deportiva Alajuelense,San José Costa Rica,5/27/88,34-177,3,249.0,0.0,b8836910,cr
Francisco Calvo,15,DF,,Konyaspor,San José Costa Rica,7/8/92,30-135,2,180.0,0.0,706bd23f,tr
Joel Campbell,12,FWMF,, León,San José Costa Rica,6/26/92,30-147,3,269.0,0.0,895ff3ca,mx
Daniel Chacón,2,MF,, CS Cartaginés,Turrialba Costa Rica,4/11/01,21-223,1,1.0,0.0,065a00d5,cr
Anthony Contreras,7,FWMF,,Club Sport Herediano,San José Costa Rica,1/29/00,22-295,3,125.0,0.0,d05ca2cc,cr
Óscar Duarte,6,DF,, Al-Wehda,Masaya Nicaragua,6/3/89,33-170,3,270.0,0.0,aa0ac32d,sa
Keysher Fuller,4,DFMF,,Club Sport Herediano,Limón Costa Rica,7/11/94,28-132,3,253.0,1.0,7.80E+92,cr
Anthony Hernández,25,FW,,Puntarenas FC,Puntarenas Costa Rica,10/11/01,21-040,0,,,f2dfa4fe,cr
Douglas López,21,MF,, Club Sport Herediano,Alajuela Costa Rica,9/21/98,24-060,0,,,64db0cb1,cr
Carlos Martínez,16,DF,, AD San Carlos,Santa Ana Costa Rica,3/30/99,23-235,1,45.0,0.0,9acb9d76,cr
Rónald Matarrita,22,DFMF,, FC Cincinnati,San Ramón Costa Rica,7/9/94,28-134,2,26.0,0.0,491862dd,us
Keylor Navas,1,GK,,Paris S-G,San Isidro Costa Rica,12/15/86,35-340,3,270.0,0.0,ecada4fc,fr
Bryan Oviedo,8,DF,,Real Salt Lake,San José Costa Rica,2/18/90,32-275,3,260.0,0.0,31faf295,us
Juan Pablo Vargas,3,DF,, Millonarios,Sarchí Costa Rica,6/6/95,27-167,1,90.0,1.0,e22564a0,co
Bryan Ruiz,10,MF,, Liga Deportiva Alajuelense,San José Costa Rica,8/18/85,37-094,1,30.0,0.0,fa6292e2,cr
Youstin Salas,14,DFMF,, Deportivo Saprissa,Cariari Costa Rica,6/17/96,26-156,2,47.0,0.0,055dd4d3,cr
Patrick Sequeira,23,GK,, Lugo,Limón Costa Rica,3/1/99,23-264,0,,,6f21e773,es
Yeltsin Tejeda,17,MF,, Club Sport Herediano,Limón Costa Rica,3/17/92,30-248,3,269.0,1.0,74319b04,cr
Gerson Torres,13,MF,,Club Sport Herediano,Costa Rica,8/28/97,25-084,1,64.0,0.0,d56713ff,cr
Johan Venegas,11,FWMF,, Liga Deportiva Alajuelense,Limón Costa Rica,11/27/88,33-358,1,73.0,0.0,5eadd340,cr
Kendall Waston,19,DF,, Deportivo Saprissa,San José Costa Rica,1/1/88,34-323,3,225.0,0.0,02ea59b0,cr
Roan Wilson,24,MF,, Municipal Grecia,Limón Costa Rica,5/1/02,20-203,1,1.0,0.0,719300f2,cr
Álvaro Zamora,26,MF,,Deportivo Saprissa,San José Costa Rica,3/9/02,20-256,1,30.0,0.0,d050756d,cr
